"paso","archivo","codigo","categoria","replica","timestamp_inicio_iso","timestamp_fin_iso","emocion_reportada","emocion_otra_texto","intensidad_1a5","valencia_1a9","activacion_1a9","ya_visto"
"1","","","fijacion","","2026-07-21T19:05:57.938Z","2026-07-21T19:06:03.293Z","","","","","",""
"2","The Proposal","LPR","diversion","","2026-07-21T19:06:03.294Z","2026-07-21T19:09:04.914Z","Alegría","","3","6","4","Si"
"3","","","fijacion","","2026-07-21T19:09:23.063Z","2026-07-21T19:09:28.064Z","","","","","",""
"4","The Conjuring 2","CON2","miedo","","2026-07-21T19:09:28.064Z","2026-07-21T19:12:51.768Z","Neutral","","3","5","5","Si"
"5","","","fijacion","","2026-07-21T19:13:01.184Z","2026-07-21T19:13:06.253Z","","","","","",""
"6","Planet Terror","PTE","asco","","2026-07-21T19:13:06.254Z","2026-07-21T19:14:25.608Z","Asco","","4","3","6","Si"
"7","","","fijacion","","2026-07-21T19:14:38.565Z","2026-07-21T19:14:43.588Z","","","","","",""
